source,strategy,trader_style,performance,,
binance,buy&hold,cutting edge,632.0%,,
binance,buy&hold,diversified,320.6%,,
binance,buy&hold,meme,63.4%,,
binance,buy&hold,simple - ada,165.2%,,
binance,buy&hold,simple - btc,266.9%,,
binance,buy&hold,simple - doge,67.0%,,
binance,buy&hold,simple - eth,177.7%,,
binance,buy&hold,simple - shib,55.0%,,
binance,buy&hold,simple - sol,1145.1%,,
binance,buy&hold,simple - xrp,72.7%,,
binance,buy&hold,standard,231.2%,,
yahoo,buy&hold,traditional,31.9%,,
coinbase,buy&hold,cutting edge,219.4%,,
coinbase,buy&hold,diversified,98.8%,,
coinbase,buy&hold,meme,3.8%,,
coinbase,buy&hold,simple - ada,141.3%,,
coinbase,buy&hold,simple - btc,210.4%,,
coinbase,buy&hold,simple - doge,23.2%,,
coinbase,buy&hold,simple - eth,152.6%,,
coinbase,buy&hold,simple - shib,19.2%,,
coinbase,buy&hold,simple - sol,934.7%,,
coinbase,buy&hold,simple - xrp,-36.6%,,
coinbase,buy&hold,standard,60.8%,,
binance,dca,cutting edge,133.5%,,
binance,dca,diversified,86.6%,,
binance,dca,meme,30.2%,,
binance,dca,simple - ada,54.9%,,
binance,dca,simple - btc,68.0%,,
binance,dca,simple - doge,37.8%,,
binance,dca,simple - eth,50.8%,,
binance,dca,simple - shib,25.2%,,
binance,dca,simple - sol,238.0%,,
binance,dca,simple - xrp,12.0%,,
binance,dca,standard,60.5%,,
yahoo,dca,traditional,7.0%,,
coinbase,dca,cutting edge,111.8%,,
coinbase,dca,diversified,56.9%,,
coinbase,dca,meme,12.1%,,
coinbase,dca,simple - ada,43.5%,,
coinbase,dca,simple - btc,47.4%,,
coinbase,dca,simple - doge,9.0%,,
coinbase,dca,simple - eth,39.4%,,
coinbase,dca,simple - shib,3.5%,,
coinbase,dca,simple - sol,181.5%,,
coinbase,dca,simple - xrp,-1.7%,,
coinbase,dca,standard,22.1%,,
binance,mac,cutting edge,98.2%,,
binance,mac,diversified,214.8%,,
binance,mac,meme,19.7%,,
binance,mac,simple - ada,1.2%,,
binance,mac,simple - btc,95.8%,,
binance,mac,simple - doge,19.7%,,
binance,mac,simple - eth,60.5%,,
binance,mac,simple - shib,0.0%,,
binance,mac,simple - sol,141.3%,,
binance,mac,simple - xrp,7.8%,,
binance,mac,standard,88.2%,,
yahoo,mac,traditional,0.0%,,
coinbase,mac,cutting edge,119.0%,,
coinbase,mac,diversified,144.1%,,
coinbase,mac,meme,1.0%,,
coinbase,mac,simple - ada,-1.6%,,
coinbase,mac,simple - btc,66.4%,,
coinbase,mac,simple - doge,1.0%,,
coinbase,mac,simple - eth,45.7%,,
coinbase,mac,simple - shib,0.0%,,
coinbase,mac,simple - sol,88.3%,,
coinbase,mac,simple - xrp,-1.4%,,
coinbase,mac,standard,59.4%,,
binance,momentum,cutting edge,344.9%,,
binance,momentum,diversified,242.2%,,
binance,momentum,meme,0.0%,,
binance,momentum,simple - ada,0.5%,,
binance,momentum,simple - btc,44.9%,,
binance,momentum,simple - doge,0.0%,,
binance,momentum,simple - eth,14.4%,,
binance,momentum,simple - shib,0.0%,,
binance,momentum,simple - sol,505.2%,,
binance,momentum,simple - xrp,-0.1%,,
binance,momentum,standard,29.7%,,
yahoo,momentum,traditional,0.0%,,
coinbase,momentum,cutting edge,186.0%,,
coinbase,momentum,diversified,118.2%,,
coinbase,momentum,meme,-0.1%,,
coinbase,momentum,simple - ada,0.2%,,
coinbase,momentum,simple - btc,14.9%,,
coinbase,momentum,simple - doge,-0.1%,,
coinbase,momentum,simple - eth,5.0%,,
coinbase,momentum,simple - shib,0.0%,,
coinbase,momentum,simple - sol,326.7%,,
coinbase,momentum,simple - xrp,0.0%,,
coinbase,momentum,standard,9.9%,,
